3V3:1
5V:1
APA102-PAD1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
I2C-1:1
I2C-2:1
I2C-3:1
IO1:1
LOGO:1
MIC:1
PANEL-PWR1:1
PWR-INPUT1:1
QR:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
U1:1
U2:1
U3:1
U4:1
U5:1
U6:1
U8:1
